"","NNID","DATUM","OBA","OBA_WERT","NAME","SPRACHE","GENUS","NAME2","SPRACHE2","GENUS2","ZUSATZ","AGS","RS","HOEHE","HOEHE_GER","EWZ","EWZ_GER","GEWK","GEMTEIL","VIRTUELL","GEMEINDE","VERWGEM","KREIS","REGBEZIRK","BUNDESLAND","STAAT","GEOLA","GEOBR","GKRE","GKHO","UTMRE","UTMHO","BOX_GEO","BOX_GK","BOX_UTM"
"1","DEBKGGND00002DSV","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Pappenheim","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",10.9702777777778,48.9330555555556,36444312071058096,54236055688043296,6442980310847580,54218751177976704,"POLYGON ((10.963244687354 48.9285895656747,10.9635973776506 48.9375799991356,10.9772441435881 48.9373467854268,10.9768890060151 48.9283564253504,10.963244687354 48.9285895656747))","POLYGON ((3643931.00841488 5423105.36769552,3643931.00473021 5424105.76783354,3644931.40562517 5424105.76977503,3644931.40965871 5423105.3696861,3643931.00841488 5423105.36769552))","POLYGON ((643798.031084758 5421375.11779767,643798.031084758 5422375.11779767,644798.031084758 5422375.11779767,644798.031084758 5421375.11779767,643798.031084758 5421375.11779767))"
"2","DEBKGGND00002DSW","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Kakesbeck","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.45166666666667,51.8122222222222,33932973902641200,57431273007917496,3932662144175500,57412715652244096,"POLYGON ((7.44459418984532 51.8074938314741,7.44428468403106 51.8164817621071,7.45878669060037 51.8166727420609,7.45909331407163 51.8076847501765,7.44459418984532 51.8074938314741))","POLYGON ((3392797.20115125 5742627.09991704,3392797.18561122 5743627.49186937,3393797.5792772 5743627.50164438,3393797.59501363 5742627.10951701,3392797.20115125 5742627.09991704))","POLYGON ((392766.21441755 5740771.56522441,392766.21441755 5741771.56522441,393766.21441755 5741771.56522441,393766.21441755 5740771.56522441,392766.21441755 5740771.56522441))"
"3","DEBKGGND00002DSY","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Hohenneuffen","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",9.3925,48.5558333333333,35290476565536600,53798609127829000,5289606863257020,53781484205865896,"POLYGON ((9.38566063184468 48.5512886823182,9.38572901447983 48.5602847916813,9.39928172415166 48.5602385915017,9.39921093902411 48.55124249666,9.38566063184468 48.5512886823182))","POLYGON ((3528547.45726537 5379360.71079307,3528547.45468177 5380361.11440376,3529547.85587276 5380361.11457759,3529547.85839526 5379360.71112981,3528547.45726537 5379360.71079307))","POLYGON ((528460.686325702 5377648.42058658,528460.686325702 5378648.42058658,529460.686325702 5378648.42058658,529460.686325702 5377648.42058658,528460.686325702 5377648.42058658))"
"4","DEBKGGND00002DT5","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Schwalbach","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.08055555555556,50.2847222222222,34345358411119500,55724918449284496,4344871224403680,55707030071605800,"POLYGON ((8.07349077710969 50.2802636467612,8.07331616927943 50.2892560795603,8.08735218867181 50.2893671266562,8.08752415270544 50.280374658634,8.07349077710969 50.2802636467612))","POLYGON ((3434035.64678601 5571991.64272739,3434035.64273846 5572992.04050487,3435036.03529027 5572992.04700336,3435036.03962916 5571991.64925384,3434035.64678601 5571991.64272739))","POLYGON ((433987.122440368 5570203.00716058,433987.122440368 5571203.00716058,434987.122440368 5571203.00716058,434987.122440368 5570203.00716058,433987.122440368 5570203.00716058))"
"5","DEBKGGND00002DTF","01.12.2016","AX_Gebaeude","Burg, Festung","Liebenburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.1525,49.5122222222222,33662863911421296,54878000622173000,3662642099575150,54860449733723696,"POLYGON ((7.14576866982299 49.507663715389,7.14542868984466 49.5166538140032,7.15923692692976 49.516874396989,7.15957437907909 49.5078842287554,7.14576866982299 49.507663715389))","POLYGON ((3365786.1970471 5487299.86190943,3365786.19050151 5488300.25750702,3366786.58522234 5488300.26243594,3366786.59179156 5487299.86679077,3365786.1970471 5487299.86190943))","POLYGON ((365764.209957515 5485544.97337237,365764.209957515 5486544.97337237,366764.209957515 5486544.97337237,366764.209957515 5485544.97337237,365764.209957515 5485544.97337237))"
"6","DEBKGGND00002DTX","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Ranis","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",11.5638888888889,50.6627777777778,36813425429921400,56172594078754400,6811957252029020,56154508538205504,"POLYGON ((11.5565654886728 50.6583401586288,11.5570536629903 50.6673242189641,11.5711896712103 50.6670130298803,11.5706988053759 50.6580290684134,11.5565654886728 50.6583401586288))","POLYGON ((3680842.34741138 5616759.20141821,3680842.33642157 5617759.60394952,3681842.7385597 5617759.61422151,3681842.74958515 5616759.21168441,3680842.34741138 5616759.20141821))","POLYGON ((680695.725202905 5614950.85382055,680695.725202905 5615950.85382055,681695.725202905 5615950.85382055,681695.725202905 5614950.85382055,680695.725202905 5614950.85382055))"
"7","DEBKGGND00002DTY","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Brandenfels","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",10.1047222222222,51.0422222222222,35775497392895800,56569109534508096,5774448309420360,56550875744298096,"POLYGON ((10.0974580809009 51.0376754223533,10.0976705457572 51.0466662057548,10.1119333710791 51.0465313714696,10.1117181468908 51.037540631058,10.0974580809009 51.0376754223533))","POLYGON ((3577049.54487318 5656410.75092857,3577049.53739095 5657411.14990234,3578049.93360195 5657411.15583597,3578049.94129497 5656410.75691458,3577049.54487318 5656410.75092857))","POLYGON ((576944.830942039 5654587.57442981,576944.830942039 5655587.57442981,577944.830942039 5655587.57442981,577944.830942039 5654587.57442981,576944.830942039 5654587.57442981))"
"8","DEBKGGND00002DTZ","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Krukenburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",9.46,51.6325,35319302948649400,57221147950347200,5318440137159789,57202656089277504,"POLYGON ((9.45283099601446 51.6280348095513,9.45292053597877 51.6370260520077,9.46737001138083 51.6369694321226,9.46727761508207 51.6279782078044,9.45283099601446 51.6280348095513))","POLYGON ((3531430.10294199 5721614.58435332,3531430.08888968 5722614.99756374,3532430.48677878 5722615.0058717,3532430.50085168 5721614.59212908,3531430.10294199 5721614.58435332))","POLYGON ((531344.013715979 5719765.60892776,531344.013715979 5720765.60892776,532344.013715979 5720765.60892776,532344.013715979 5719765.60892776,531344.013715979 5719765.60892776))"
"9","DEBKGGND00002DU1","01.12.2016","AX_Gebaeude","Burg, Festung","Saalburg","deutsch",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.56638888888889,50.2713888888889,34691716494223896,55706841811041808,4691091967667190,55688958289873696,"POLYGON ((8.559547588924 50.2668684241084,8.55946461887926 50.2758617890418,8.57349809885226 50.2759141268912,8.57357842604221 50.2669207453566,8.559547588924 50.2668684241084))","POLYGON ((3468671.45404268 5570183.9786699,3468671.44715989 5571184.37620731,3469671.8448077 5571184.3834298,3469671.85167737 5570183.98588626,3468671.45404268 5570183.9786699))","POLYGON ((468609.196766719 5568395.82898737,468609.196766719 5569395.82898737,469609.196766719 5569395.82898737,469609.196766719 5568395.82898737,468609.196766719 5568395.82898737))"
"10","DEBKGGND00002DU3","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Altwied","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.46583333333333,50.4833333333333,33911856329976600,55953043170948200,3911540813960760,55935067512103600,"POLYGON ((7.45885587169884 50.4788372560018,7.45856340025283 50.487827300123,7.47265492846331 50.4880130852719,7.47294472873421 50.4790229821585,7.45885587169884 50.4788372560018))","POLYGON ((3390685.43797006 5594804.11651321,3390685.43318849 5595804.50998688,3391685.82801963 5595804.51758306,3391685.83280658 5594804.12407307,3390685.43797006 5594804.11651321))","POLYGON ((390654.081396076 5593006.75121036,390654.081396076 5594006.75121036,391654.081396076 5594006.75121036,391654.081396076 5593006.75121036,390654.081396076 5593006.75121036))"
